2026-05-26 19:48:39,479 | INFO | Generating atomic question DAG with DEPO.
2026-05-26 19:52:20,319 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-26 19:52:20,319 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-26 19:52:33,899 | INFO | Starting HyperBranch pipeline for question: Which film has the director who is older than the other, Taming Of The Fire or The Lady Takes A Flyer?
2026-05-26 19:52:33,900 | INFO | Executing atomic DAG with 4 node(s)
2026-05-26 19:52:41,772 | INFO | Atomic retrieval returned 25 hits for question=Who is the director of Taming Of The Fire?
2026-05-26 19:53:05,846 | INFO | Atomic retrieval returned 23 hits for question=Who is the director of The Lady Takes A Flyer?
2026-05-26 19:53:10,228 | INFO | Rewrote retrieval question for q2: What is the age of the director of Taming Of The Fire? -> What is the age of Daniil Khrabrovitsky?
2026-05-26 19:53:16,513 | INFO | Atomic retrieval returned 25 hits for question=What is the age of Daniil Khrabrovitsky?
2026-05-26 19:53:35,297 | INFO | Rewrote retrieval question for q4: What is the age of the director of The Lady Takes A Flyer? -> What is the age of Jack Arnold?
2026-05-26 19:53:40,686 | INFO | Atomic retrieval returned 25 hits for question=What is the age of Jack Arnold?
2026-05-26 19:54:41,785 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260526_194839_which-film-has-the-director-who-is-older-than-th
