2026-05-27 04:43:21,150 | INFO | Generating atomic question DAG with DEPO.
2026-05-27 04:45:47,938 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-27 04:45:47,938 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-27 04:46:00,295 | INFO | Starting HyperBranch pipeline for question: Which film has the director who is older than the other, Ven Mi Corazón Te Llama or Waking The Dead (Film)?
2026-05-27 04:46:00,295 | INFO | Executing atomic DAG with 4 node(s)
2026-05-27 04:46:07,660 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of Ven Mi Corazón Te Llama?
2026-05-27 04:46:16,016 | INFO | Atomic retrieval returned 24 hits for question=Who is the director of Waking The Dead?
2026-05-27 04:46:22,651 | INFO | Rewrote retrieval question for q2: What is the age of the director of Ven Mi Corazón Te Llama? -> What is the age of Manuel Romero?
2026-05-27 04:46:33,671 | INFO | Atomic retrieval returned 23 hits for question=What is the age of Manuel Romero?
2026-05-27 04:46:36,880 | INFO | Rewrote retrieval question for q4: What is the age of the director of Waking The Dead? -> What is the age of Keith Gordon?
2026-05-27 04:46:40,301 | INFO | Atomic retrieval returned 23 hits for question=What is the age of Keith Gordon?
2026-05-27 04:47:21,251 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260527_044321_which-film-has-the-director-who-is-older-than-th
